Latitude,Longitude,gravity_anomaly
77.4083,23.3046,15
77.425,23.3046,13.2
77.4417,23.3046,11.6
77.4583,23.3046,10.2
77.475,23.3046,9
77.4917,23.3046,8
77.5083,23.3046,7.1
77.525,23.3046,6.2
77.5417,23.3046,5.4
77.5583,23.3046,4.5
77.575,23.3046,3.6
77.5917,23.3046,2.7
77.6083,23.3046,1.8
77.625,23.3046,1
77.6417,23.3046,0.2
77.6583,23.3046,-0.5
77.675,23.3046,-1.1
77.6917,23.3046,-1.6
77.7083,23.3046,-2
77.725,23.3046,-2.2
77.7417,23.3046,-2.1
77.7583,23.3046,-1.9
77.775,23.3046,-1.4
77.7917,23.3046,-0.6
77.8083,23.3046,0.3
77.825,23.3046,1.4
77.8417,23.3046,2.5
77.8583,23.3046,3.4
77.875,23.3046,4.1
77.8917,23.3046,4.5
77.9083,23.3046,4.5
77.925,23.3046,4.3
77.9417,23.3046,3.8
77.9583,23.3046,3.3
77.975,23.3046,2.9
77.9917,23.3046,2.7
78.0083,23.3046,2.9
78.025,23.3046,3.4
78.0417,23.3046,4.4
78.0583,23.3046,5.6
78.075,23.3046,7
78.0917,23.3046,8.3
78.1083,23.3046,9.5
78.125,23.3046,10.4
78.1417,23.3046,10.8
78.1583,23.3046,10.8
78.175,23.3046,10.3
78.1917,23.3046,9.4
78.2083,23.3046,8
78.225,23.3046,6.3
78.2417,23.3046,4.2
78.2583,23.3046,1.9
78.275,23.3046,-0.5
78.2917,23.3046,-3
78.3083,23.3046,-5.5
78.325,23.3046,-7.9
78.3417,23.3046,-10.1
78.3583,23.3046,-12
78.375,23.3046,-13.7
78.3917,23.3046,-15.1
78.4083,23.3046,-16.1
78.425,23.3046,-16.9
78.4417,23.3046,-17.4
78.4583,23.3046,-17.7
78.475,23.3046,-17.8
78.4917,23.3046,-17.7
78.5083,23.3046,-17.3
78.525,23.3046,-16.9
78.5417,23.3046,-16.2
78.5583,23.3046,-15.4
78.575,23.3046,-14.7
78.5917,23.3046,-14
78.6083,23.3046,-13.5
78.625,23.3046,-13.2
78.6417,23.3046,-13.3
78.6583,23.3046,-13.7
78.675,23.3046,-14.3
78.6917,23.3046,-15.2
78.7083,23.3046,-16.1
78.725,23.3046,-17.1
78.7417,23.3046,-17.9
78.7583,23.3046,-18.7
78.775,23.3046,-19.3
78.7917,23.3046,-19.8
78.8083,23.3046,-20.3
78.825,23.3046,-20.8
78.8417,23.3046,-21.5
78.8583,23.3046,-22.4
78.875,23.3046,-23.4
78.8917,23.3046,-24.6
78.9083,23.3046,-25.9
78.925,23.3046,-27.2
78.9417,23.3046,-28.4
78.9583,23.3046,-29.6
78.975,23.3046,-30.6
78.9917,23.3046,-31.5
79.0083,23.3046,-32.3
79.025,23.3046,-32.9
79.0417,23.3046,-33.3
79.0583,23.3046,-33.6
79.075,23.3046,-33.9
79.0917,23.3046,-34
79.1083,23.3046,-34
79.125,23.3046,-34.1
79.1417,23.3046,-34.3
79.1583,23.3046,-34.7
79.175,23.3046,-35.4
79.1917,23.3046,-36.4
79.2083,23.3046,-37.8
79.225,23.3046,-39.4
79.2417,23.3046,-41.2
79.2583,23.3046,-43
79.275,23.3046,-44.5
79.2917,23.3046,-45.7
79.3083,23.3046,-46.3
79.325,23.3046,-46.3
79.3417,23.3046,-45.7
79.3583,23.3046,-44.5
79.375,23.3046,-42.9
79.3917,23.3046,-41.1
79.4083,23.3046,-39.1
79.425,23.3046,-37.2
79.4417,23.3046,-35.3
79.4583,23.3046,-33.5
79.475,23.3046,-31.8
79.4917,23.3046,-30.2
79.5083,23.3046,-28.6
79.525,23.3046,-27.1
79.5417,23.3046,-25.7
79.5583,23.3046,-24.4
79.575,23.3046,-23.3
79.5917,23.3046,-22.5
79.6083,23.3046,-22
79.625,23.3046,-21.7
79.6417,23.3046,-21.5
79.6583,23.3046,-21.4
79.675,23.3046,-21.1
79.6917,23.3046,-20.5
79.7083,23.3046,-19.6
79.725,23.3046,-18.2
79.7417,23.3046,-16.4
79.7583,23.3046,-14.4
79.775,23.3046,-12.2
79.7917,23.3046,-10
79.8083,23.3046,-8
79.825,23.3046,-6.1
79.8417,23.3046,-4.5
79.8583,23.3046,-3
79.875,23.3046,-1.7
79.8917,23.3046,-0.4
79.9083,23.3046,0.9
79.925,23.3046,2.3
79.9417,23.3046,3.7
79.9583,23.3046,5.2
79.975,23.3046,6.6
79.9917,23.3046,8
80.0083,23.3046,9.4
80.025,23.3046,10.8
80.0417,23.3046,12.2
80.0583,23.3046,13.7
80.075,23.3046,15.4
80.0917,23.3046,17.3
80.1083,23.3046,19.3
80.125,23.3046,21.4
80.1417,23.3046,23.4
80.1583,23.3046,25.2
80.175,23.3046,26.6
80.1917,23.3046,27.6
80.2083,23.3046,28
80.225,23.3046,27.9
80.2417,23.3046,27.4
80.2583,23.3046,26.6
80.275,23.3046,25.8
80.2917,23.3046,25.2
80.3083,23.3046,25
80.325,23.3046,25.2
80.3417,23.3046,26
80.3583,23.3046,27.1
80.375,23.3046,28.5
80.3917,23.3046,30.1
80.4083,23.3046,31.5
80.425,23.3046,32.7
80.4417,23.3046,33.4
80.4583,23.3046,33.7
80.475,23.3046,33.6
80.4917,23.3046,33.2
80.5083,23.3046,32.7
80.525,23.3046,32.3
80.5417,23.3046,32.1
80.5583,23.3046,32.4
80.575,23.3046,33.2
80.5917,23.3046,34.6
80.6083,23.3046,36.3
80.625,23.3046,38.2
80.6417,23.3046,40
80.6583,23.3046,41.4
80.675,23.3046,41.9
80.6917,23.3046,41.4
80.7083,23.3046,39.7
80.725,23.3046,36.7
80.7417,23.3046,32.7
80.7583,23.3046,28.1
80.775,23.3046,23.1
80.7917,23.3046,18.3
80.8083,23.3046,14
80.825,23.3046,10.7
80.8417,23.3046,8.4
80.8583,23.3046,7.1
80.875,23.3046,6.6
80.8917,23.3046,6.5
80.9083,23.3046,6.3
80.925,23.3046,5.5
80.9417,23.3046,4
80.9583,23.3046,1.7
80.975,23.3046,-1.5
80.9917,23.3046,-5.1
81.0083,23.3046,-8.8
81.025,23.3046,-11.9
81.0417,23.3046,-14.1
81.0583,23.3046,-15
81.075,23.3046,-14.6
81.0917,23.3046,-13
81.1083,23.3046,-10.7
81.125,23.3046,-8.2
81.1417,23.3046,-6.1
81.1583,23.3046,-5
81.175,23.3046,-5.4
81.1917,23.3046,-7.2
81.2083,23.3046,-10.5
81.225,23.3046,-14.9
81.2417,23.3046,-19.8
81.2583,23.3046,-24.6
81.275,23.3046,-28.8
81.2917,23.3046,-32
81.3083,23.3046,-34
81.325,23.3046,-34.7
81.3417,23.3046,-34.4
81.3583,23.3046,-33.5
81.375,23.3046,-32.3
81.3917,23.3046,-31.2
81.4083,23.3046,-30.5
81.425,23.3046,-30.2
81.4417,23.3046,-30.5
81.4583,23.3046,-31
81.475,23.3046,-31.6
81.4917,23.3046,-32.2
81.5083,23.3046,-32.4
81.525,23.3046,-32.3
81.5417,23.3046,-31.8
81.5583,23.3046,-31.1
81.575,23.3046,-30.2
81.5917,23.3046,-29.3
81.6083,23.3046,-28.4
81.625,23.3046,-27.7
81.6417,23.3046,-26.9
81.6583,23.3046,-26.1
81.675,23.3046,-25.2
81.6917,23.3046,-24.1
81.7083,23.3046,-22.9
81.725,23.3046,-21.6
81.7417,23.3046,-20.3
81.7583,23.3046,-19
81.775,23.3046,-17.9
81.7917,23.3046,-17.1
81.8083,23.3046,-16.4
81.825,23.3046,-16
81.8417,23.3046,-15.5
81.8583,23.3046,-15.1
81.875,23.3046,-14.7
81.8917,23.3046,-14.2
81.9083,23.3046,-13.7
81.925,23.3046,-13.3
81.9417,23.3046,-13.1
81.9583,23.3046,-13.2
81.975,23.3046,-13.7
81.9917,23.3046,-14.3
82.0083,23.3046,-15.1
82.025,23.3046,-15.7
82.0417,23.3046,-16.1
82.0583,23.3046,-16.1
82.075,23.3046,-15.7
82.0917,23.3046,-15
82.1083,23.3046,-14.2
82.125,23.3046,-13.7
82.1417,23.3046,-13.5
82.1583,23.3046,-13.9
82.175,23.3046,-15
82.1917,23.3046,-16.5
82.2083,23.3046,-18.3
82.225,23.3046,-19.9
82.2417,23.3046,-21.2
82.2583,23.3046,-21.9
82.275,23.3046,-21.7
82.2917,23.3046,-20.7
82.3083,23.3046,-19.1
82.325,23.3046,-17.3
82.3417,23.3046,-15.4
82.3583,23.3046,-13.9
82.375,23.3046,-12.8
82.3917,23.3046,-12.3
82.4083,23.3046,-12.3
82.425,23.3046,-12.6
82.4417,23.3046,-13.1
82.4583,23.3046,-13.4
82.475,23.3046,-13.6
82.4917,23.3046,-13.6
82.5083,23.3046,-13.4
82.525,23.3046,-13.3
82.5417,23.3046,-13.3
82.5583,23.3046,-13.5
82.575,23.3046,-14
82.5917,23.3046,-14.8
82.6083,23.3046,-15.7
82.625,23.3046,-16.7
82.6417,23.3046,-17.6
82.6583,23.3046,-18.4
82.675,23.3046,-19.2
82.6917,23.3046,-19.9
82.7083,23.3046,-20.8
82.725,23.3046,-21.7
82.7417,23.3046,-22.9
82.7583,23.3046,-24.2
82.775,23.3046,-25.7
82.7917,23.3046,-27
82.8083,23.3046,-28.1
82.825,23.3046,-28.8
82.8417,23.3046,-29.1
82.8583,23.3046,-28.9
82.875,23.3046,-28.3
82.8917,23.3046,-27.4
82.9083,23.3046,-26.3
82.925,23.3046,-25.2
82.9417,23.3046,-24.2
82.9583,23.3046,-23.3
82.975,23.3046,-22.5
82.9917,23.3046,-21.8
83.0083,23.3046,-21.2
83.025,23.3046,-20.8
83.0417,23.3046,-20.6
83.0583,23.3046,-20.6
83.075,23.3046,-20.8
83.0917,23.3046,-21.3
83.1083,23.3046,-21.8
83.125,23.3046,-22.3
83.1417,23.3046,-22.5
83.1583,23.3046,-22.2
83.175,23.3046,-21.5
83.1917,23.3046,-20.2
83.2083,23.3046,-18.4
83.225,23.3046,-16.4
83.2417,23.3046,-14.4
83.2583,23.3046,-12.7
83.275,23.3046,-11.3
83.2917,23.3046,-10.3
83.3083,23.3046,-9.5
83.325,23.3046,-8.7
83.3417,23.3046,-7.6
83.3583,23.3046,-6
83.375,23.3046,-3.7
83.3917,23.3046,-0.8
83.4083,23.3046,2.5
83.425,23.3046,5.8
83.4417,23.3046,8.8
83.4583,23.3046,11.1
83.475,23.3046,12.6
83.4917,23.3046,13.3
83.5083,23.3046,13.4
