Latitude,Longitude,Gravity_anomaly
74.4083,17.0032,-33.7
74.425,17.0032,-32.7
74.4417,17.0032,-31.7
74.4583,17.0032,-30.6
74.475,17.0032,-29.5
74.4917,17.0032,-28.3
74.5083,17.0032,-27.1
74.525,17.0032,-26
74.5417,17.0032,-24.9
74.5583,17.0032,-23.8
74.575,17.0032,-22.9
74.5917,17.0032,-22
74.6083,17.0032,-21.1
74.625,17.0032,-20.1
74.6417,17.0032,-18.9
74.6583,17.0032,-17.6
74.675,17.0032,-16.2
74.6917,17.0032,-14.7
74.7083,17.0032,-13.3
74.725,17.0032,-12.2
74.7417,17.0032,-11.3
74.7583,17.0032,-10.9
74.775,17.0032,-10.8
74.7917,17.0032,-11.1
74.8083,17.0032,-11.5
74.825,17.0032,-11.9
74.8417,17.0032,-12.2
74.8583,17.0032,-12.2
74.875,17.0032,-12
74.8917,17.0032,-11.5
74.9083,17.0032,-10.8
74.925,17.0032,-9.9
74.9417,17.0032,-8.9
74.9583,17.0032,-7.8
74.975,17.0032,-6.7
74.9917,17.0032,-5.5
75.0083,17.0032,-4.2
75.025,17.0032,-3
75.0417,17.0032,-1.7
75.0583,17.0032,-0.4
75.075,17.0032,0.8
75.0917,17.0032,2
75.1083,17.0032,3
75.125,17.0032,3.9
75.1417,17.0032,4.8
75.1583,17.0032,5.6
75.175,17.0032,6.3
75.1917,17.0032,6.9
75.2083,17.0032,7.4
75.225,17.0032,7.8
75.2417,17.0032,7.8
75.2583,17.0032,7.5
75.275,17.0032,6.8
75.2917,17.0032,5.8
75.3083,17.0032,4.3
75.325,17.0032,2.7
75.3417,17.0032,0.9
75.3583,17.0032,-0.8
75.375,17.0032,-2.4
75.3917,17.0032,-3.8
75.4083,17.0032,-5.1
75.425,17.0032,-6.3
75.4417,17.0032,-7.5
75.4583,17.0032,-8.6
75.475,17.0032,-9.6
75.4917,17.0032,-10.6
75.5083,17.0032,-11.5
75.525,17.0032,-12
75.5417,17.0032,-12.1
75.5583,17.0032,-11.9
75.575,17.0032,-11.2
75.5917,17.0032,-10.2
75.6083,17.0032,-9
75.625,17.0032,-7.9
75.6417,17.0032,-6.9
75.6583,17.0032,-6.4
75.675,17.0032,-6.2
75.6917,17.0032,-6.6
75.7083,17.0032,-7.2
75.725,17.0032,-8.2
75.7417,17.0032,-9.3
75.7583,17.0032,-10.4
75.775,17.0032,-11.5
75.7917,17.0032,-12.5
75.8083,17.0032,-13.4
