Latitude,Longitude,Gravity_anomaly
77.0083,15.9965,-49
77.025,15.9965,-48.8
77.0417,15.9965,-48.3
77.0583,15.9965,-47.8
77.075,15.9965,-47.3
77.0917,15.9965,-46.9
77.1083,15.9965,-46.5
77.125,15.9965,-46.3
77.1417,15.9965,-46.2
77.1583,15.9965,-46
77.175,15.9965,-45.8
77.1917,15.9965,-45.5
77.2083,15.9965,-45.2
77.225,15.9965,-44.8
77.2417,15.9965,-44.5
77.2583,15.9965,-44.3
77.275,15.9965,-44.3
77.2917,15.9965,-44.5
77.3083,15.9965,-44.8
77.325,15.9965,-45.3
77.3417,15.9965,-45.8
77.3583,15.9965,-46.2
77.375,15.9965,-46.4
77.3917,15.9965,-46.4
77.4083,15.9965,-46.3
77.425,15.9965,-46
77.4417,15.9965,-45.7
77.4583,15.9965,-45.4
77.475,15.9965,-45.2
77.4917,15.9965,-45.1
77.5083,15.9965,-45
77.525,15.9965,-45
77.5417,15.9965,-45.1
77.5583,15.9965,-45.1
77.575,15.9965,-45.1
77.5917,15.9965,-45.1
77.6083,15.9965,-45.2
77.625,15.9965,-45.2
77.6417,15.9965,-45.4
77.6583,15.9965,-45.7
77.675,15.9965,-46.1
77.6917,15.9965,-46.6
77.7083,15.9965,-47.2
77.725,15.9965,-47.8
77.7417,15.9965,-48.4
77.7583,15.9965,-49
77.775,15.9965,-49.5
77.7917,15.9965,-50
77.8083,15.9965,-50.4
77.825,15.9965,-50.7
77.8417,15.9965,-51
77.8583,15.9965,-51.4
77.875,15.9965,-51.9
77.8917,15.9965,-52.5
77.9083,15.9965,-53.3
77.925,15.9965,-54.3
77.9417,15.9965,-55.6
77.9583,15.9965,-57
77.975,15.9965,-58.5
77.9917,15.9965,-60
78.0083,15.9965,-61.3
78.025,15.9965,-62.5
78.0417,15.9965,-63.5
78.0583,15.9965,-64.3
78.075,15.9965,-65.1
78.0917,15.9965,-65.8
78.1083,15.9965,-66.5
78.125,15.9965,-67.4
78.1417,15.9965,-68.3
78.1583,15.9965,-69.2
78.175,15.9965,-70
78.1917,15.9965,-70.5
78.2083,15.9965,-70.7
78.225,15.9965,-70.4
78.2417,15.9965,-69.8
78.2583,15.9965,-68.9
78.275,15.9965,-67.8
78.2917,15.9965,-66.7
78.3083,15.9965,-65.7
78.325,15.9965,-64.7
78.3417,15.9965,-63.9
78.3583,15.9965,-62.9
78.375,15.9965,-61.7
78.3917,15.9965,-60.1
78.4083,15.9965,-58
78.425,15.9965,-55.6
78.4417,15.9965,-52.7
78.4583,15.9965,-49.8
78.475,15.9965,-47
78.4917,15.9965,-44.5
78.5083,15.9965,-42.6
78.525,15.9965,-41.2
78.5417,15.9965,-40.4
78.5583,15.9965,-39.9
78.575,15.9965,-39.6
78.5917,15.9965,-39.2
78.6083,15.9965,-38.6
78.625,15.9965,-37.7
78.6417,15.9965,-36.4
78.6583,15.9965,-34.8
78.675,15.9965,-33
78.6917,15.9965,-31.1
78.7083,15.9965,-29.3
78.725,15.9965,-27.6
78.7417,15.9965,-25.9
78.7583,15.9965,-24.4
78.775,15.9965,-22.8
78.7917,15.9965,-21.2
78.8083,15.9965,-19.4
78.825,15.9965,-17.5
78.8417,15.9965,-15.5
78.8583,15.9965,-13.6
78.875,15.9965,-11.8
78.8917,15.9965,-10.2
78.9083,15.9965,-9.1
78.925,15.9965,-8.5
78.9417,15.9965,-8.5
78.9583,15.9965,-9.2
78.975,15.9965,-10.7
78.9917,15.9965,-12.9
79.0083,15.9965,-15.8
79.025,15.9965,-19.3
79.0417,15.9965,-23.1
79.0583,15.9965,-27.2
79.075,15.9965,-31.5
79.0917,15.9965,-35.6
79.1083,15.9965,-39.7
79.125,15.9965,-43.6
79.1417,15.9965,-47.3
79.1583,15.9965,-50.8
79.175,15.9965,-54.2
79.1917,15.9965,-57.5
79.2083,15.9965,-60.6
79.225,15.9965,-63.4
79.2417,15.9965,-66
79.2583,15.9965,-68
79.275,15.9965,-69.6
79.2917,15.9965,-70.6
79.3083,15.9965,-71
79.325,15.9965,-71
79.3417,15.9965,-70.7
79.3583,15.9965,-70.3
79.375,15.9965,-69.9
79.3917,15.9965,-69.6
79.4083,15.9965,-69.6
79.425,15.9965,-69.6
79.4417,15.9965,-69.8
79.4583,15.9965,-69.9
79.475,15.9965,-69.9
79.4917,15.9965,-69.7
79.5083,15.9965,-69.3
79.525,15.9965,-68.8
79.5417,15.9965,-68.2
79.5583,15.9965,-67.5
79.575,15.9965,-66.9
79.5917,15.9965,-66.4
79.6083,15.9965,-66
79.625,15.9965,-65.5
79.6417,15.9965,-65.1
79.6583,15.9965,-64.6
79.675,15.9965,-63.9
79.6917,15.9965,-63.2
79.7083,15.9965,-62.3
79.725,15.9965,-61.3
79.7417,15.9965,-60.3
79.7583,15.9965,-59.2
79.775,15.9965,-58.1
79.7917,15.9965,-56.7
79.8083,15.9965,-55.2
79.825,15.9965,-53.3
79.8417,15.9965,-51.2
79.8583,15.9965,-48.7
79.875,15.9965,-45.9
79.8917,15.9965,-43
79.9083,15.9965,-39.9
79.925,15.9965,-37
79.9417,15.9965,-34.4
79.9583,15.9965,-32.1
79.975,15.9965,-30.3
79.9917,15.9965,-29
80.0083,15.9965,-28.3
77.0083,15.9804,-50
77.025,15.9804,-49.8
77.0417,15.9804,-49.4
77.0583,15.9804,-48.8
77.075,15.9804,-48.3
77.0917,15.9804,-47.8
77.1083,15.9804,-47.5
77.125,15.9804,-47.2
77.1417,15.9804,-47.1
77.1583,15.9804,-46.9
77.175,15.9804,-46.7
77.1917,15.9804,-46.4
77.2083,15.9804,-46.1
77.225,15.9804,-45.7
77.2417,15.9804,-45.3
77.2583,15.9804,-45.1
77.275,15.9804,-45.1
77.2917,15.9804,-45.3
77.3083,15.9804,-45.7
77.325,15.9804,-46.1
77.3417,15.9804,-46.6
77.3583,15.9804,-46.9
77.375,15.9804,-47.2
77.3917,15.9804,-47.2
77.4083,15.9804,-47
77.425,15.9804,-46.8
77.4417,15.9804,-46.5
77.4583,15.9804,-46.2
77.475,15.9804,-46
77.4917,15.9804,-45.9
77.5083,15.9804,-45.9
77.525,15.9804,-46
77.5417,15.9804,-46
77.5583,15.9804,-45.9
77.575,15.9804,-45.9
77.5917,15.9804,-45.8
77.6083,15.9804,-45.7
77.625,15.9804,-45.6
77.6417,15.9804,-45.7
77.6583,15.9804,-45.9
77.675,15.9804,-46.3
77.6917,15.9804,-46.8
77.7083,15.9804,-47.5
77.725,15.9804,-48.1
77.7417,15.9804,-48.7
77.7583,15.9804,-49.3
77.775,15.9804,-49.7
77.7917,15.9804,-50.1
77.8083,15.9804,-50.4
77.825,15.9804,-50.6
77.8417,15.9804,-50.9
77.8583,15.9804,-51.3
77.875,15.9804,-51.7
77.8917,15.9804,-52.4
77.9083,15.9804,-53.2
77.925,15.9804,-54.2
77.9417,15.9804,-55.3
77.9583,15.9804,-56.5
77.975,15.9804,-57.8
77.9917,15.9804,-59.1
78.0083,15.9804,-60.3
78.025,15.9804,-61.5
78.0417,15.9804,-62.5
78.0583,15.9804,-63.5
78.075,15.9804,-64.4
78.0917,15.9804,-65.4
78.1083,15.9804,-66.4
78.125,15.9804,-67.5
78.1417,15.9804,-68.6
78.1583,15.9804,-69.6
78.175,15.9804,-70.4
78.1917,15.9804,-70.9
78.2083,15.9804,-71.1
78.225,15.9804,-71
78.2417,15.9804,-70.5
78.2583,15.9804,-69.8
78.275,15.9804,-68.9
78.2917,15.9804,-68.1
78.3083,15.9804,-67.2
78.325,15.9804,-66.4
78.3417,15.9804,-65.6
78.3583,15.9804,-64.7
78.375,15.9804,-63.5
78.3917,15.9804,-62
78.4083,15.9804,-60.1
78.425,15.9804,-57.9
78.4417,15.9804,-55.4
78.4583,15.9804,-52.8
78.475,15.9804,-50.4
78.4917,15.9804,-48.1
78.5083,15.9804,-46.2
78.525,15.9804,-44.6
78.5417,15.9804,-43.2
78.5583,15.9804,-42.1
78.575,15.9804,-41
78.5917,15.9804,-39.9
78.6083,15.9804,-38.6
78.625,15.9804,-37.2
78.6417,15.9804,-35.6
78.6583,15.9804,-33.9
78.675,15.9804,-32.2
78.6917,15.9804,-30.5
78.7083,15.9804,-28.8
78.725,15.9804,-27
78.7417,15.9804,-25.1
78.7583,15.9804,-23
78.775,15.9804,-20.8
78.7917,15.9804,-18.4
78.8083,15.9804,-16
78.825,15.9804,-13.7
78.8417,15.9804,-11.6
78.8583,15.9804,-10
78.875,15.9804,-9
78.8917,15.9804,-8.6
78.9083,15.9804,-9
78.925,15.9804,-10.1
78.9417,15.9804,-12
78.9583,15.9804,-14.4
78.975,15.9804,-17.4
78.9917,15.9804,-20.8
79.0083,15.9804,-24.4
79.025,15.9804,-28.2
79.0417,15.9804,-32.1
79.0583,15.9804,-35.9
79.075,15.9804,-39.4
79.0917,15.9804,-42.8
79.1083,15.9804,-45.9
79.125,15.9804,-48.7
79.1417,15.9804,-51.4
79.1583,15.9804,-54
79.175,15.9804,-56.5
79.1917,15.9804,-59.1
79.2083,15.9804,-61.6
79.225,15.9804,-64.1
79.2417,15.9804,-66.4
79.2583,15.9804,-68.3
79.275,15.9804,-69.8
79.2917,15.9804,-70.8
79.3083,15.9804,-71.4
79.325,15.9804,-71.4
79.3417,15.9804,-71.2
79.3583,15.9804,-70.9
79.375,15.9804,-70.6
79.3917,15.9804,-70.3
79.4083,15.9804,-70.3
79.425,15.9804,-70.3
79.4417,15.9804,-70.5
79.4583,15.9804,-70.5
79.475,15.9804,-70.4
79.4917,15.9804,-70.1
79.5083,15.9804,-69.5
79.525,15.9804,-68.8
79.5417,15.9804,-68
79.5583,15.9804,-67.1
79.575,15.9804,-66.4
79.5917,15.9804,-65.7
79.6083,15.9804,-65.2
79.625,15.9804,-64.8
79.6417,15.9804,-64.4
79.6583,15.9804,-63.9
79.675,15.9804,-63.4
79.6917,15.9804,-62.7
79.7083,15.9804,-61.9
79.725,15.9804,-61
79.7417,15.9804,-60
79.7583,15.9804,-58.9
79.775,15.9804,-57.7
79.7917,15.9804,-56.3
79.8083,15.9804,-54.8
79.825,15.9804,-52.9
79.8417,15.9804,-50.7
79.8583,15.9804,-48.2
79.875,15.9804,-45.5
79.8917,15.9804,-42.6
79.9083,15.9804,-39.6
79.925,15.9804,-36.8
79.9417,15.9804,-34.1
79.9583,15.9804,-31.9
79.975,15.9804,-30
79.9917,15.9804,-28.6
80.0083,15.9804,-27.8
77.0083,15.9644,-51.1
77.025,15.9644,-50.9
77.0417,15.9644,-50.5
77.0583,15.9644,-49.9
77.075,15.9644,-49.3
77.0917,15.9644,-48.8
77.1083,15.9644,-48.4
77.125,15.9644,-48.2
77.1417,15.9644,-47.9
77.1583,15.9644,-47.7
77.175,15.9644,-47.5
77.1917,15.9644,-47.2
77.2083,15.9644,-46.8
77.225,15.9644,-46.3
77.2417,15.9644,-46
77.2583,15.9644,-45.7
77.275,15.9644,-45.7
77.2917,15.9644,-45.9
77.3083,15.9644,-46.2
77.325,15.9644,-46.6
77.3417,15.9644,-47.1
77.3583,15.9644,-47.4
77.375,15.9644,-47.6
77.3917,15.9644,-47.6
77.4083,15.9644,-47.5
77.425,15.9644,-47.2
77.4417,15.9644,-47
77.4583,15.9644,-46.7
77.475,15.9644,-46.6
77.4917,15.9644,-46.6
77.5083,15.9644,-46.6
77.525,15.9644,-46.7
77.5417,15.9644,-46.7
77.5583,15.9644,-46.6
77.575,15.9644,-46.5
77.5917,15.9644,-46.3
77.6083,15.9644,-46.1
77.625,15.9644,-45.9
77.6417,15.9644,-45.9
77.6583,15.9644,-46.1
77.675,15.9644,-46.5
77.6917,15.9644,-46.9
77.7083,15.9644,-47.5
77.725,15.9644,-48.2
77.7417,15.9644,-48.7
77.7583,15.9644,-49.2
77.775,15.9644,-49.6
77.7917,15.9644,-50
77.8083,15.9644,-50.2
77.825,15.9644,-50.5
77.8417,15.9644,-50.8
77.8583,15.9644,-51.3
77.875,15.9644,-51.8
77.8917,15.9644,-52.5
77.9083,15.9644,-53.3
77.925,15.9644,-54.2
77.9417,15.9644,-55.2
